cons	name	RA	Dec	vis. meg	abs. meg	Dist.(ly)	Sp. class
1	GY And	01 38 31.84	45 23 58.9	6.38	0.66	455	B9Vp (Cr-Eu)
1	9999	02 08 33.55	44 27 34.4	6.38	0.78	430	G8III
1	9999	23 07 04.99	35 38 11.3	6.38	-0.08	638	K0
1	9999	01 35 52.46	41 04 35.1	6.39	1.01	388	K1III
1	V529 And	01 27 26.67	41 06 04.0	6.42	2.69	182	Am...
1	9999	23 02 11.32	44 34 22.4	6.43	1.22	359	K0
1	HD 222641	23 42 14.68	44 59 30.3	6.43	-0.48	786	K5III
1	9999	01 18 47.02	37 23 10.7	6.44	0.71	456	A5m
1	9999	02 19 22.77	48 57 19.0	6.44	2.39	210	F4V
1	9999	23 17 16.59	45 09 51.5	6.44	2.1	241	K0IV
1	HD 6114	01 03 01.47	47 22 34.3	6.46	1.39	337	A9V
1	9999	01 57 59.23	47 05 43.9	6.48	-1.24	1140	K0
1	ET And	23 17 55.99	45 29 20.2	6.48	0.36	545	B9Vp(Si)
1	HD 222399	23 40 02.82	37 39 10.2	6.49	1.74	291	F2IV
1	PY And	00 36 20.00	27 15 17	6.5	9999	701	B8IIImnp...
1	9999	00 12 34.08	44 42 26.1	6.5	0.5	517	K0
1	59 And B	02 10 53.67	39 02 36.0	6.82	-1.76	1698	A1Vn
1	HD 222155	23 38 00	48 59 47	7.1	9999	160	G2V
1	HD 16175	02 37 01.91	42 03 45.5	7.28	3.4	195	G0
1	R And	00 24 01.95	38 34 37.3	7.39	9999	9999	S6.5IIIeZr6Ti2
1	HD 1605	00 20 32.0	30 58 29	7.52	9999	276	K1IV
1	HD 13931	02 16 47.38	43 46 22.8	7.52	9999	144	G0
1	RW And	00 47 18.92	32 41 08.6	7.9	9999	9999	M5e-M10e(S6,2e)
1	GRB 34	00 18 22.9	44 01 22	8.01	10.25	11.62	M6Ve + M1Ve
1	HD 15082	02 26 51.06	37 33 01.7	8.3	3	377	A5
1	Z And	23 33 39.95	48 49 05.9	10.53	2.38	1393	M2III + B1eq
1	HAT-P-6	23 39 05.81	42 27 57.5	10.54	4.03	650	F
1	HAT-P-16	00 38 17.56	42 27 47.2	10.8	3.9	766	F8
1	HAT-P-32	02 01 10	46 41 16	11.29	9999	1044	F/G
1	WASP-1	00 20 40.08	31 59 23.8	11.79	3.89	1239	F7V
1	Kepler-63	01 17 07.6	49 32 54	12.02	9999	652	9999
1	Ross 248	23 41 54.99	44 10 40.8	12.29	14.79	10.32	M6e
1	HAT-P-19	00 38 04	34 42 42	12.9	9999	701	K
1	HAT-P-28	00 52 00	34 43 42	13.03	9999	1288	G3
2	α Ant	10 27 09.16	-31 04 04.1	4.28	-0.97	366	K4III
2	ε Ant	09 29 14.74	-35 57 04.9	4.51	-2.15	700	K3III
2	ι Ant	10 56 43.00	-37 08 14.9	4.6	0.67	199	K0III
